county_name,year,swis_code,muni_name,muni_type,school_code,school_name,print_key,total_av,sale_date,sale_price,arms_length_flag,prop_class_at_sale,prop_class_desc_at_sale,buyer_state,ownership_code,std_date,merged_swis_print,hpi,adjusted_amt
clinton,2013,092600,Black Brook,3,092201,Ausable Valley,321.-2-2.6,281000,2013-10-23,100000,Y,314,Rural Vacant Lots of 10 Acres or less,FL,W,2013-10-23,321.-2-2.6092600,0.7710091011758453,77100.91011758453
clinton,2013,094000,Peru,3,094001,Peru,270.-2-16,850000,2013-12-06,575000,Y,280,Residential - Multi_Purpose/Multi-Structure,FL,W,2013-12-06,270.-2-16094000,0.7710091011758453,443330.23317611107
clinton,2014,094200,Plattsburgh,3,092401,Beekmantown,194.2-2-33,480000,2014-01-08,525000,Y,210,One Family Year-Round Residence,NY,W,2014-01-08,194.2-2-33094200,0.7917358666046636,415661.3299674484
clinton,2014,094200,Plattsburgh,3,094001,Peru,234.17-1-10,522000,2014-01-16,575000,Y,210,One Family Year-Round Residence,OH,W,2014-01-16,234.17-1-10094200,0.7917358666046636,455248.12329768157
clinton,2014,091300,Plattsburgh,2,091300,Plattsburgh,221.20-3-53,112900,2014-02-14,118000,Y,210,One Family Year-Round Residence,NY,A,2014-02-14,221.20-3-53091300,0.7917358666046636,93424.8322593503
clinton,2014,091300,Plattsburgh,2,091300,Plattsburgh,221.20-2-4,111600,2014-02-21,97500,Y,210,One Family Year-Round Residence,NY,A,2014-02-21,221.20-2-4091300,0.7917358666046636,77194.2469939547
clinton,2014,091300,Plattsburgh,2,091300,Plattsburgh,193.20-1-12.76,101900,2014-03-14,111500,Y,210,One Family Year-Round Residence,NY,C,2014-03-14,193.20-1-12.76091300,0.7917358666046636,88278.54912641998
clinton,2014,094200,Plattsburgh,3,094001,Peru,233.20-4-5,352000,2014-04-07,320000,Y,210,One Family Year-Round Residence,FL,W,2014-04-07,233.20-4-5094200,0.7917358666046636,253355.47731349233
clinton,2014,091300,Plattsburgh,2,091300,Plattsburgh,221.20-3-106,99400,2014-05-16,97000,Y,210,One Family Year-Round Residence,NY,A,2014-05-16,221.20-3-106091300,0.7917358666046636,76798.37906065237
clinton,2014,091300,Plattsburgh,2,091300,Plattsburgh,193.20-1-2.17,142900,2014-05-28,138500,Y,210,One Family Year-Round Residence,NY,A,2014-05-28,193.20-1-2.17091300,0.7917358666046636,109655.4175247459
